

===============================================      Match : 73 ================================== 
Equipe 1 
482 , 285 , 135 
306 , 98 , 136 
269 , 313 , 137 
378 , 255 , 138 
343 , 124 , 139 
327 , 314 , 140 
507 , 208 , 141 
433 , 199 , 142 
677 , 401 , 143 
381 , 357 , 144 
154 , 371 , 145 
Equipe 2 
47 , 225 , 1 
113 , 128 , 4 
117 , 244 , 5 
115 , 368 , 6 
209 , 116 , 7 
214 , 238 , 11 
210 , 347 , 12 
316 , 157 , 13 
316 , 305 , 18 
403 , 224 , 14 
497 , 228 , 19 


===============================================      Match : 74 ================================== 
Equipe 1 
49 , 225 , 158 
85 , 225 , 161 
164 , 229 , 162 
238 , 118 , 163 
232 , 236 , 164 
231 , 354 , 168 
295 , 224 , 169 
360 , 226 , 170 
425 , 220 , 175 
490 , 229 , 171 
539 , 228 , 176 
Equipe 2 
44 , 225 , 114 
125 , 118 , 117 
126 , 238 , 118 
129 , 356 , 119 
214 , 123 , 120 
216 , 243 , 124 
212 , 362 , 125 
305 , 225 , 126 
405 , 151 , 131 
402 , 303 , 127 
478 , 221 , 132 


===============================================      Match : 75 ================================== 
Equipe 1 
42 , 225 , 93 
127 , 103 , 96 
128 , 207 , 97 
132 , 300 , 98 
125 , 402 , 99 
216 , 124 , 103 
216 , 251 , 104 
213 , 369 , 105 
313 , 220 , 110 
392 , 222 , 106 
481 , 227 , 111 
Equipe 2 
45 , 225 , 337 
109 , 153 , 340 
101 , 302 , 341 
186 , 230 , 342 
284 , 156 , 343 
279 , 304 , 347 
347 , 123 , 348 
344 , 235 , 349 
348 , 355 , 354 
426 , 220 , 350 
507 , 220 , 355 


===============================================      Match : 76 ================================== 
Equipe 1 
551 , 83 , 331 
670 , 250 , 312 
472 , 385 , 313 
364 , 75 , 314 
598 , 50 , 315 
407 , 309 , 316 
255 , 284 , 317 
58 , 202 , 318 
115 , 399 , 319 
506 , 39 , 320 
415 , 71 , 321 
Equipe 2 
46 , 225 , 70 
112 , 224 , 73 
175 , 96 , 74 
180 , 193 , 75 
179 , 283 , 76 
178 , 369 , 80 
257 , 226 , 81 
317 , 218 , 82 
390 , 222 , 87 
453 , 216 , 83 
535 , 218 , 88 


===============================================      Match : 77 ================================== 
Equipe 1 
47 , 225 , 46 
119 , 119 , 49 
116 , 241 , 50 
116 , 357 , 51 
231 , 231 , 52 
309 , 156 , 56 
315 , 309 , 57 
395 , 127 , 58 
388 , 246 , 63 
390 , 367 , 59 
489 , 220 , 64 
Equipe 2 
44 , 225 , 290 
121 , 220 , 293 
226 , 124 , 294 
228 , 233 , 295 
220 , 353 , 296 
303 , 96 , 300 
300 , 191 , 301 
302 , 290 , 302 
301 , 383 , 307 
410 , 216 , 303 
500 , 224 , 308 


===============================================      Match : 78 ================================== 
Equipe 1 
44 , 225 , 268 
139 , 99 , 271 
138 , 191 , 272 
134 , 285 , 273 
137 , 375 , 274 
238 , 106 , 278 
243 , 206 , 279 
235 , 305 , 280 
236 , 406 , 285 
361 , 218 , 281 
451 , 223 , 286 
Equipe 2 
50 , 225 , 22 
102 , 93 , 25 
106 , 186 , 26 
102 , 277 , 27 
109 , 372 , 28 
205 , 224 , 32 
272 , 161 , 33 
272 , 306 , 34 
354 , 224 , 39 
426 , 226 , 35 
510 , 224 , 40 


===============================================      Match : 79 ================================== 
Equipe 1 
50 , 225 , 180 
110 , 229 , 183 
196 , 149 , 184 
198 , 301 , 185 
272 , 161 , 186 
265 , 317 , 190 
359 , 120 , 191 
364 , 241 , 192 
364 , 359 , 197 
422 , 221 , 193 
517 , 227 , 198 
Equipe 2 
50 , 225 , 245 
129 , 103 , 248 
130 , 196 , 249 
129 , 297 , 250 
129 , 392 , 251 
213 , 155 , 255 
207 , 300 , 256 
305 , 225 , 257 
397 , 162 , 262 
398 , 316 , 258 
489 , 220 , 263 


===============================================      Match : 80 ================================== 
Equipe 1 
42 , 225 , 223 
116 , 160 , 226 
117 , 316 , 227 
213 , 155 , 228 
215 , 299 , 229 
321 , 228 , 233 
395 , 96 , 234 
397 , 197 , 235 
396 , 287 , 240 
402 , 378 , 236 
483 , 232 , 241 
Equipe 2 
43 , 225 , 202 
141 , 129 , 205 
142 , 250 , 206 
140 , 372 , 207 
259 , 119 , 208 
256 , 237 , 212 
259 , 357 , 213 
347 , 126 , 214 
343 , 243 , 219 
350 , 357 , 215 
453 , 217 , 220 


===============================================      Match : 313 ================================== 
Equipe 1 
44 , 225 , 495 
141 , 162 , 498 
145 , 311 , 499 
239 , 102 , 500 
241 , 194 , 501 
244 , 293 , 505 
241 , 386 , 506 
349 , 125 , 507 
351 , 237 , 512 
354 , 357 , 508 
457 , 224 , 513 
Equipe 2 
42 , 225 , 359 
123 , 227 , 362 
216 , 117 , 363 
222 , 240 , 364 
216 , 348 , 365 
298 , 122 , 369 
303 , 239 , 370 
302 , 355 , 371 
389 , 154 , 376 
389 , 304 , 372 
485 , 224 , 377 


===============================================      Match : 314 ================================== 
Equipe 1 
46 , 225 , 519 
119 , 229 , 522 
211 , 120 , 523 
215 , 239 , 524 
219 , 345 , 525 
309 , 128 , 529 
309 , 247 , 530 
308 , 366 , 531 
405 , 155 , 536 
412 , 301 , 532 
498 , 227 , 537 
Equipe 2 
49 , 225 , 472 
116 , 224 , 475 
174 , 156 , 476 
170 , 307 , 477 
241 , 227 , 478 
312 , 223 , 482 
396 , 120 , 483 
396 , 240 , 484 
395 , 365 , 489 
464 , 224 , 485 
527 , 224 , 490 


===============================================      Match : 315 ================================== 
Equipe 1 
50 , 225 , 448 
113 , 101 , 451 
117 , 200 , 452 
113 , 293 , 453 
119 , 391 , 454 
189 , 154 , 458 
184 , 302 , 459 
276 , 224 , 460 
358 , 230 , 465 
435 , 228 , 461 
511 , 227 , 466 
Equipe 2 
42 , 225 , 706 
116 , 97 , 709 
116 , 201 , 710 
114 , 294 , 711 
119 , 392 , 712 
220 , 220 , 716 
305 , 116 , 717 
302 , 233 , 718 
309 , 345 , 723 
402 , 219 , 719 
485 , 223 , 724 


===============================================      Match : 316 ================================== 
Equipe 1 
47 , 225 , 684 
117 , 154 , 687 
113 , 308 , 688 
191 , 125 , 689 
188 , 242 , 690 
185 , 364 , 694 
262 , 226 , 695 
346 , 156 , 696 
350 , 313 , 701 
438 , 215 , 697 
519 , 222 , 702 
Equipe 2 
43 , 225 , 425 
105 , 219 , 428 
179 , 223 , 429 
240 , 226 , 430 
316 , 217 , 431 
395 , 154 , 435 
394 , 304 , 436 
455 , 125 , 437 
453 , 244 , 442 
457 , 368 , 438 
537 , 228 , 443 


===============================================      Match : 317 ================================== 
Equipe 1 
49 , 225 , 401 
101 , 157 , 404 
106 , 316 , 405 
208 , 101 , 406 
208 , 200 , 407 
207 , 292 , 411 
201 , 389 , 412 
266 , 224 , 413 
351 , 228 , 418 
442 , 225 , 414 
511 , 227 , 419 
Equipe 2 
47 , 225 , 660 
116 , 98 , 663 
114 , 190 , 664 
116 , 283 , 665 
115 , 372 , 666 
201 , 161 , 670 
205 , 311 , 671 
268 , 221 , 672 
359 , 229 , 677 
437 , 221 , 673 
520 , 225 , 678 


===============================================      Match : 318 ================================== 
Equipe 1 
51 , 225 , 636 
143 , 123 , 639 
144 , 235 , 640 
143 , 351 , 641 
259 , 129 , 642 
255 , 248 , 646 
258 , 363 , 647 
355 , 118 , 648 
354 , 238 , 653 
357 , 345 , 649 
452 , 227 , 654 
Equipe 2 
42 , 225 , 380 
100 , 154 , 383 
106 , 302 , 384 
179 , 152 , 385 
186 , 302 , 386 
249 , 226 , 390 
312 , 161 , 391 
